Review_8,Capacity,Noise_Level,Review_1,Review_3,Review_2,Review_5,Review_4,Review_7,Review_6,ASIN,Offer_Price,Brand,Item_name,No_of_Reviews,Energy_Efficiency,Part_No,MRP,Control_Console,Model,Best_Sellers_Rank_Category_AC,Best_Sellers_Rank_Category_home_kitchen,Color,Wattage,Installation_Type,Average_Rating,Voltage,Item_href
,2 tons,40 dB,,,,,,,,B00TZMZ1IA," 49,990.00",LG,"LG LSA6ST3D1 L-Energia Silver Split AC (2 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,,,,LSA6ST3D1,,,White,2000 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA6ST3D1-L-Energia-Silver-Aluminium/dp/B00TZMZ1IA/ref=sr_1_676/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-676
,2 tons,40 dB,,,,,,,,B00TZMXMAE," 44,990.00",LG,"LG LSA6AT2D1 L-Aura Terminator Split AC (2 Ton, 2 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,2 Star Rating,,,,LSA6AT2D1,,,White,2100 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA6AT2D1-L-Aura-Terminator-Aluminium/dp/B00TZMXMAE/ref=sr_1_681/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-681
,1.5 tons,36 dB,,,,,,,,B00TZMWQWY," 44,490.00",LG,"LG LSA5TM5D L-Terminator Split AC (1.5 Ton, 5 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,5 Star Rating,,,,LSA5TM5D,,,White,1465 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA5TM5D-L-Terminator-Rating-Aluminium/dp/B00TZMWQWY/ref=sr_1_684/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-684
,2 tons,40 dB,,,,,,,,B00TZMY8WU," 47,490.00",LG,"LG LSA6MP3D1 L-Maxima Plus Split AC (2 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,,,,LSA6MP3D1,,,White,2000 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA6MP3D1-L-Maxima-Rating-Aluminium/dp/B00TZMY8WU/ref=sr_1_678/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-678
,1 tons,36 dB,,,,,,,,B00TZMSJKM," 30,990.00",LG,"LG LSA3MP2D L-Maxima Plus Split AC (1 Ton, 2 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,2 Star Rating,,,,LSA3MP2D,,,White,1046 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA3MP2D-L-Maxima-Rating-Aluminium/dp/B00TZMSJKM/ref=sr_1_695/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-695
,1 tons,35 dB,,,,,,,,B00TZMTSGQ," 35,490.00",LG,"LG LSA3ST3D L-Energia Silver Split AC (1 Ton, 3 Star Rating, White and Black, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,,,,LSA3ST3D,#494,"#4,85,624",White and Black,1070 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA3ST3D-L-Energia-Silver-Aluminium/dp/B00TZMTSGQ/ref=sr_1_692/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-692
,1 tons,35 dB,,,,,,,,B00TZMSNXA," 32,990.00",LG,"LG LSA3MP3D L-Maxima Plus Split AC (1 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,,,,LSA3MP3D,,,White,1070 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA3MP3D-L-Maxima-Rating-Aluminium/dp/B00TZMSNXA/ref=sr_1_694/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-694
,2 tons,40 dB,,,,,,,,B00TZMY3KC," 43,990.00",LG,"LG LSA6MP2D1 L-Maxima Plus Split AC (2 Ton, 2 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,2 Star Rating,,,,LSA6MP2D1,,,White,2100 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA6MP2D1-L-Maxima-Rating-Aluminium/dp/B00TZMY3KC/ref=sr_1_679/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-679
,1.5 tons,36 dB,,,,,,,,B00TZMVEPE," 42,490.00",LG,"LG LSA5MP5D L-Maxima Plus Split AC (1.5 Ton, 5 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,5 Star Rating,,,,LSA5MP5D,,,White,1465 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA5MP5D-L-Maxima-Rating-Aluminium/dp/B00TZMVEPE/ref=sr_1_687/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-687
,1 tons,35 dB,,,,,,,,B00TZMU1AS," 34,990.00",LG,"LG LSA3TM3D L-Terminator Split AC (1 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,LSA3TM3D,,,LSA3TM3D,,,White,1070 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA3TM3D-L-Terminator-Rating-Aluminium/dp/B00TZMU1AS/ref=sr_1_691/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-691
,1.5 tons,36 dB,IS AC KI BAT HI NIRALI HAI VERY COOL,,,,,,,B00TZMXAS8," 44,990.00",LG,"LG LSA5WT5D L-Energia Split AC (1.5 Ton, 5 Star Rating, Wine Red, Aluminium): Amazon.in: Home & Kitchen",1 review,5 Star Rating,,,,LSA5WT5D,#599,"#5,83,032",Wine Red,1465 Watts,Split,5.0 out of 5 stars,230 Volts,http://www.amazon.in/LG-LSA5WT5D-L-Energia-Rating-Aluminium/dp/B00TZMXAS8/ref=sr_1_682/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-682
,1 tons,35 dB,"Cooling my room instantly, Power consumption is very less. using at 22 deg C for 7 hours and unit come only 2 unit. i am hapy with this product.When on AC on that time temp set manually by me 18 deg C, after two hours automaticly increase temp and set it by room temp, which is very usefull for me. during sleep i can sleep very cool with out any tention.",,,,,,,B00TZMUF54," 32,990.00",LG,"LG LSA3VF3D L-Vogue Floral Split AC (1 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",1 review,3 Star Rating,,,,LSA3VF3D,#527,"#5,13,343",White,1070 Watts,Split,5.0 out of 5 stars,230 Volts,http://www.amazon.in/LG-LSA3VF3D-L-Vogue-Floral-Aluminium/dp/B00TZMUF54/ref=sr_1_690/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-690
,1 tons,35 dB,Nice productwill recommend  others,,,,,,,B00TZMUKMM," 35,490.00",LG,"LG LSA3VF5D L-Vogue Floral Split AC (1 Ton, 5 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",1 review,5 Star Rating,,,,LSA3VF5D,#437,"#4,06,614",White,980 Watts,Split,5.0 out of 5 stars,230 Volts,http://www.amazon.in/LG-LSA3VF5D-L-Vogue-Floral-Aluminium/dp/B00TZMUKMM/ref=sr_1_689/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-689
,1 tons,35 dB,,,,,,,,B00TZMUVLM," 34,990.00",LG,"LG LSA3VP5D L-Vogue Plus Split AC (1 Ton, 5 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,5 Star Rating,,,,LSA3VP5D,,,White,980 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA3VP5D-L-Vogue-Rating-Aluminium/dp/B00TZMUVLM/ref=sr_1_688/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-688
,2 tons,40 dB,,,,,,,,B00TZMZMAC," 46,990.00",LG,"LG LSA6VP3D1 L-Vogue Plus Split AC (2 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,,,,LSA6VP3D1,,,White,2000 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA6VP3D1-L-Vogue-Rating-Aluminium/dp/B00TZMZMAC/ref=sr_1_673/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-673
,2 tons,40 dB,,,,,,,,B00TZMYTS8," 47,990.00",LG,"LG LSA6SP3D1 L-Stella Plus Split AC (2 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,,,,LSA6SP3D1,,,White,2000 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA6SP3D1-L-Stella-Rating-Aluminium/dp/B00TZMYTS8/ref=sr_1_677/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-677
,1.5 tons,36 dB,,,,,,,,B00TZMWEU8," 39,490.00",LG,"LG LSA5ST3D L-Energia Silver Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,,,,LSA5ST3D,,,White,1615 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA5ST3D-L-Energia-Silver-Aluminium/dp/B00TZMWEU8/ref=sr_1_685/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-685
,1.5 tons,42 dB,,,,,,,,B00U2DXRNC," 54,690.00",Hitachi,"Hitachi RAU019AVEA Inverter Split AC (1.5 Ton, White, Copper): Amazon.in: Home & Kitchen",,Inverter,,,,RAU019AVEA,,,White,1800 Watts,Split,,230 Volts,http://www.amazon.in/Hitachi-RAU019AVEA-Inverter-Split-Copper/dp/B00U2DXRNC/ref=sr_1_648/253-6788738-0994037?ie=UTF8&qid=1485080232&s=kitchen&sr=1-648
,1 tons,35 dB,,,,,,,,B00TZMSEWA," 37,990.00",LG,"LG LSA3GT5D L-Energia Split AC (1 Ton, 5 Star Rating, Grey, Aluminium): Amazon.in: Home & Kitchen",,5 Star Rating,,,,LSA3GT5D,,,Grey,980 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA3GT5D-L-Energia-Rating-Aluminium/dp/B00TZMSEWA/ref=sr_1_696/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-696
,1.5 tons,35 dB,,,,,,,,B00TZMWW1E," 35,490.00",LG,"LG LSA5VF2D1 L-Vogue Floral Split AC (1.5 Ton, 2 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,2 Star Rating,,,,LSA5VF2D1,,,White,1535 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA5VF2D1-L-Vogue-Floral-Aluminium/dp/B00TZMWW1E/ref=sr_1_683/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-683
,1.5 tons,43 dB,,,,,,,,B00RZDYBGY," 31,400.00",Voltas,"Voltas 182 DYU Split AC (1.5 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,2 Star Rating,182 Dyu,"36,190.00",,182 DYU,,,White,,Split,,,http://www.amazon.in/Voltas-182-DYU-Rating-Copper/dp/B00RZDYBGY/ref=sr_1_720/253-3952973-1550020?ie=UTF8&qid=1485080232&s=kitchen&sr=1-720
,2 tons,45 dB,,,,,,,,B00U2DXUZM," 62,790.00",Hitachi,"Hitachi RAU024AVEA Inverter Split AC (2 Ton, White, Copper): Amazon.in: Home & Kitchen",,Inverter,,,,RAU024AVEA,,,White,2400 Watts,Split,,230 Volts,http://www.amazon.in/Hitachi-RAU024AVEA-Inverter-Split-Copper/dp/B00U2DXUZM/ref=sr_1_647/253-6788738-0994037?ie=UTF8&qid=1485080232&s=kitchen&sr=1-647
,1.5 tons,44 dB,,,,,,,,B00RXDM4KG," 49,000.00",Panasonic,"Panasonic KC18RKY Split AC (1.5 Ton, White, Copper): Amazon.in: Home & Kitchen",,,,,,KC18RKY,,,White,1540 Watts,Split,,230 Volts,http://www.amazon.in/Panasonic-KC18RKY-Split-White-Copper/dp/B00RXDM4KG/ref=sr_1_741/253-9613733-1627749?ie=UTF8&qid=1485080232&s=kitchen&sr=1-741
,1.5 tons,36 dB,,,,,,,,B00TZMVZTO," 35,990.00",LG,"LG LSA5SP2D1 L-Stella Plus Split AC (1.5 Ton, 2 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,2 Star Rating,,,,LSA5SP2D1,,,White,1535 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA5SP2D1-L-Stella-Rating-Aluminium/dp/B00TZMVZTO/ref=sr_1_686/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-686
